"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1","group2"
"51","A11K-L7_S41","ASV1",12.8482972136223,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)","Gut_Add-K: Aquaculture salmon strain"
"52","A11K-L7_S41","ASV3",9.40630122017847,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)","Gut_Add-K: Aquaculture salmon strain"
"53","A11K-L7_S41","ASV4",0.00910580950646512,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)","Gut_Add-K: Aquaculture salmon strain"
"54","A11K-L7_S41","ASV17",0,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Firmicutes","c_Bacilli","o_Bacillales","f_Staphylococcaceae","g_Staphylococcus","Staphylococcaceae","ASV17 (g:Staphylococcus)","Gut_Add-K: Aquaculture salmon strain"
"55","A11K-L7_S41","ASV23",0,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Firmicutes","c_Bacilli","o_Lactobacillales","f_Streptococcaceae","g_Streptococcus","Streptococcaceae","ASV23 (g:Streptococcus)","Gut_Add-K: Aquaculture salmon strain"
"56","A11K-L7_S41","ASV27",7.06610817701694,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Actinobacteria","c_Actinobacteria","o_Actinomycetales","f_Propionibacteriaceae","g_Propionibacterium","Propionibacteriaceae","ASV27 (g:Propionibacterium)","Gut_Add-K: Aquaculture salmon strain"
"57","A11K-L7_S41","ASV15",0.163904571116372,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)","Gut_Add-K: Aquaculture salmon strain"
"58","A11K-L7_S41","ASV6",3.7333818976507,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)","Gut_Add-K: Aquaculture salmon strain"
"59","A11K-L7_S41","ASV71",0,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Firmicutes","c_Clostridia","o_Clostridiales","uncl_o_Clostridiales","uncl_o_Clostridiales","Unassigned","ASV71 (o:Clostridiales)","Gut_Add-K: Aquaculture salmon strain"
"60","A11K-L7_S41","ASV55",0,"A11K-L7_S41","Gut","A11",7,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_7","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","g_Massilia","Oxalobacteraceae","ASV55 (g:Massilia)","Gut_Add-K: Aquaculture salmon strain"
"61","A11K-L8_S42","ASV1",4.54171616558531,"A11K-L8_S42","Gut","A11",8,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_8","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)","Gut_Add-K: Aquaculture salmon strain"
"62","A11K-L8_S42","ASV3",13.1956501873344,"A11K-L8_S42","Gut","A11",8,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_8","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)","Gut_Add-K: Aquaculture salmon strain"
"63","A11K-L8_S42","ASV4",7.97770264095769,"A11K-L8_S42","Gut","A11",8,22,"K","Aquaculture salmon strain",NA,"Gut","Gut_Add-K","22","A11_8","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)","Gut_Add-K: Aquaculture salmon strain"
