"","SampleID","ASV","value","Sample","Sample_type","Flask","Individual","DPE","Selection","Strain","Density_cell_uL","SampleType2","Group","dph","Sample_name","Domain","Phylum","Class","Order","Family","Genus","Family2","ASV1"
"58","K6-aw_S87","ASV804",0.100410771337289,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV804 (g:Pseudomonas)"
"59","K6-aw_S87","ASV239",0.0821542674577818,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","uncl_c_Betaproteobacteria","uncl_c_Betaproteobacteria","uncl_c_Betaproteobacteria","Unassigned","ASV239 (c:Betaproteobacteria)"
"60","K6-aw_S87","ASV605",0,"K6-aw_S87","Intake water",NA,NA,18,"K",NA,"No data","AW","AW_Add-K","18","18","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV605 (f:Oxalobacteraceae)"
"61","K7b-aw_S81","ASV1",1.62177020340847,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV1 (g:Pseudomonas)"
"62","K7b-aw_S81","ASV3",0.0458127176104087,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV3 (f:Oxalobacteraceae)"
"63","K7b-aw_S81","ASV4",0.733003481766538,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV4 (g:Pseudomonas)"
"64","K7b-aw_S81","ASV14",1.34689389774601,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Moraxellaceae","uncl_f_Moraxellaceae","Moraxellaceae","ASV14 (f:Moraxellaceae)"
"65","K7b-aw_S81","ASV39",17.7295217152281,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Comamonadaceae","uncl_f_Comamonadaceae","Comamonadaceae","ASV39 (f:Comamonadaceae)"
"66","K7b-aw_S81","ASV15",0.00916254352208173,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Gammaproteobacteria","o_Pseudomonadales","f_Pseudomonadaceae","g_Pseudomonas","Pseudomonadaceae","ASV15 (g:Pseudomonas)"
"67","K7b-aw_S81","ASV6",0,"K7b-aw_S81","Intake water",NA,NA,21,"K",NA,"380","AW","AW_Add-K","21","21","d_Bacteria","p_Proteobacteria","c_Betaproteobacteria","o_Burkholderiales","f_Oxalobacteraceae","uncl_f_Oxalobacteraceae","Oxalobacteraceae","ASV6 (f:Oxalobacteraceae)"
